month,comments,commenter
"01-2020",4605,343
"02-2020",4466,343
"03-2020",4275,382
"04-2020",4218,361
"05-2020",4766,376
"06-2020",3514,292
"07-2020",4166,308
"08-2020",2675,256
"09-2020",2591,288
"10-2020",3627,375
"11-2020",2992,319
"12-2020",2008,263
"01-2021",2016,230
"02-2021",2192,268
"03-2021",2423,304
"04-2021",2571,260
"05-2021",2733,221
"06-2021",2076,215
"07-2021",1937,235
"08-2021",1708,220
"09-2021",1882,226
"10-2021",3114,267
"11-2021",3328,214
"12-2021",2939,203
"01-2022",3026,238
"02-2022",2568,227
"03-2022",2844,250
"04-2022",2337,196
"05-2022",2784,235
"06-2022",2899,223
"07-2022",3806,246
"08-2022",2872,238
"09-2022",2829,218
"10-2022",3339,243
"11-2022",2808,222
"12-2022",2100,176
"01-2023",2888,204
"02-2023",2449,192
"03-2023",2777,228
"04-2023",2677,187
"05-2023",2485,189
"06-2023",2742,220
"07-2023",2450,195
"08-2023",2560,189
"09-2023",2295,156
"10-2023",2839,216
"11-2023",1448,156
"12-2023",1176,137
"01-2024",1980,184
"02-2024",1570,163
"03-2024",1560,171
"04-2024",1485,146
"05-2024",1487,138
"06-2024",1324,115
"07-2024",1440,140
