GroupBy(user.login),count(org)
"ADI10HERO",3
"Aki-7",5
"ArielExperitest",6
"Avishagp",1
"Bakies",1
"Dohbedoh",1
"Flohack74",1
"Gozke",2
"JCFlores93",1
"KostyaSha",2
"MKajzik",2
"MRamonLeon",5
"MadsJakobsen",1
"MarkEWaite",27
"NagleZhang",1
"NikolayMetchev",1
"NorseGaud",1
"Panfilwk",1
"PierreBtz",5
"Robert-Ilg",1
"ShrutiC-git",1
"SkyeBlep",1
"StefanSpieker",8
"SubhadraSahoo",3
"SylwiaBrant",1
"TalAntR",1
"TheImplementer",2
"TobiX",7
"VGerris",1
"Vlatombe",7
"Wadeck",3
"XiongKezhi",1
"Zastai",2
"aHenryJard",5
"aboe026",1
"agentgonzo",1
"alecharp",2
"amuniz",1
"andersonshatch",1
"andham",1
"ankitmi",1
"aphatangade",9
"arpoch",1
"arturbosch",1
"askb",1
"atombrella",1
"avwsolutions",1
"aytuncbeken",2
"basil",87
"batmat",1
"bazzargh",1
"benebsiny",1
"bertold",1
"bhanteem",1
"bharatpandiri",1
"bholden-r7",1
"bigspotteddog",1
"bitwiseman",1
"bmunozm",2
"bpedersen2",1
"brownp2k",1
"bryanateoan",1
"cafuego",1
"car-roll",20
"charchil-gupta",25
"chiarng",2
"chrizchow",1
"ciradu2204",3
"cokieffebah",1
"ctudor",1
"cyrille-leclerc",10
"daniel-beck",27
"danielakua",2
"dave-dresser",4
"davidecavestro",1
"davidsayers",1
"dconneely",1
"dduportal",38
"dee-kryvenko",1
"dennisgu1",1
"dheerajodha",2
"dkjellin",2
"dliakh",1
"donhui",9
"dorin7bogdan",1
"drodriguezhdez",3
"dsolovyev",2
"duemir",2
"dwnusbaum",1
"eduherminio",1
"eric-isakson",1
"falkena",1
"fatmcgav",2
"fredcooke",1
"garethjevans",25
"gitter-badger",2
"gmattar",1
"hak33m16",2
"halkeye",5
"hanikhan",1
"hashar",1
"hoffa",4
"hrmohr",1
"hummerstudio",1
"ikedam",1
"jamesnswithers",1
"jamesrobson-secondmind",2
"jans-jeroen",1
"jay-hershkowitz",1
"jenkins-x-bot-test",7
"jetersen",1
"jglick",35
"jimklimov",2
"joschi",1
"jplayout",1
"jtnord",4
"jvale",1
"kerogers-cloudbees",1
"kevit",1
"kgyrtkirk",1
"kuisathaverat",7
"kutzi",1
"luka5",1
"magnusbaeck",2
"mariahbb1",2
"maufranchini",1
"maxlaverse",7
"mhenschke-atl",1
"mikecirioli",4
"mkumar-quest",1
"monluk",1
"mostafaez",1
"mthaddon",2
"murraybo",1
"nehag83",1
"nikita-bedmutha",1
"nitheshrayuduv",2
"nre-ableton",1
"nsurendran1991",2
"offa",6
"olamy",5
"olblak",12
"oleg-nenashev",7
"olivergondza",3
"orjan",5
"pawoolley",2
"prenx4x",1
"preyankababu",1
"prryb",2
"pv-smartbear",1
"pwillis-els",1
"qsliu2017",1
"radislavB",1
"res0nance",12
"rkeithhill",1
"romanek-adam",1
"rsandell",1
"rsennewald",1
"sams-gleb",1
"sandraantunes-cicd",1
"sbgertp",1
"sbuhary",1
"sergey-oplavin",1
"sharmapulkit04",1
"simonsymhoven",69
"slide",4
"sratz",1
"srnjak",1
"steven-terrana",4
"strangelookingnerd",1
"sudhirbatchu9383",1
"tequilarista",1
"thomasgl-orange",3
"timja",44
"trobinson-r7",1
"tschlue",1
"tszmytka",4
"twasyl",6
"uhafner",11
"v1v",7
"vadakr",1
"vikrambollu",2
"warrior8792",1
"wwuck",3
"xasor",1
"yasokada-lc",2
"ytterx",1
"yzainee-zz",11
"zbynek",21
"zvonkokutlesa",1
